time;gross;coal_flow;main_steam_press;feedwater_flow;nilai_kalori;air_flow
01-Jan-21;-0.1;0.0;0.1;359.5;;0.0
02-Jan-21;-0.1;0.0;0.0;372.1;;592.2
03-Jan-21;-0.1;0.0;0.0;384.9;;0.0
04-Jan-21;-0.1;0.0;;394.0;;0.0
05-Jan-21;-0.1;0.0;0.0;407.1;;26.0
06-Jan-21;-0.1;0.0;0.0;415.1;;19.2
07-Jan-21;0.0;0.0;0.0;420.8;;0.0
08-Jan-21;0.0;0.0;0.1;424.8;;0.0
09-Jan-21;-0.1;0.0;0.1;410.6;;14.6
10-Jan-21;-0.1;0.0;0.1;423.3;;0.0
11-Jan-21;-0.1;0.0;0.1;415.5;;10.7
12-Jan-21;0.0;0.0;0.1;413.7;;11.9
13-Jan-21;24.2;0.0;0.1;411.4;;0.0
14-Jan-21;0.0;0.0;0.1;412.6;;0.0
15-Jan-21;0.0;60.0;0.1;417.9;;13.2
16-Jan-21;0.1;29.7;0.1;420.3;;0.0
17-Jan-21;0.0;24.3;0.1;413.3;;0.0
18-Jan-21;0.0;59.6;0.1;408.5;;13.3
19-Jan-21;0.0;0.0;0.1;415.2;;19.6
20-Jan-21;0.0;0.0;0.1;422.3;;20.6
21-Jan-21;-0.2;72.0;0.1;424.5;;28.9
22-Jan-21;-0.1;0.0;0.1;427.4;;19.8
23-Jan-21;-0.1;0.0;0.1;433.4;;19.5
24-Jan-21;-0.1;0.0;0.1;427.6;;29.0
25-Jan-21;-0.1;0.0;0.1;442.8;;19.3
26-Jan-21;-0.1;69.9;0.1;444.7;;23.0
27-Jan-21;0.0;0.0;0.1;448.1;;16.5
28-Jan-21;-0.1;0.0;0.1;448.1;;25.4
29-Jan-21;0.0;0.0;0.1;450.8;;26.8
30-Jan-21;-0.1;0.0;0.1;459.5;;21.0
31-Jan-21;-0.1;0.0;0.1;465.0;;16.6
01-Feb-21;-0.1;0.0;0.1;466.7;;21.6
02-Feb-21;-0.1;0.0;0.1;451.5;;28.7
03-Feb-21;-0.1;0.0;0.1;448.2;;40.1
04-Feb-21;-0.1;0.0;0.1;459.1;;27.4
05-Feb-21;-0.1;0.0;0.1;465.7;;26.7
06-Feb-21;-0.1;0.0;0.1;478.2;;28.1
07-Feb-21;-0.1;0.0;0.1;476.0;;27.9
08-Feb-21;-0.1;0.0;0.1;478.6;;30.4
09-Feb-21;-0.1;0.0;0.1;483.6;;28.9
10-Feb-21;-0.2;0.0;0.1;485.1;;28.0
11-Feb-21;-0.2;0.0;0.1;484.8;;29.6
12-Feb-21;-0.2;0.0;0.1;480.7;;32.6
13-Feb-21;-0.2;0.0;0.1;485.2;;30.5
14-Feb-21;-0.2;0.0;0.1;486.9;;30.0
15-Feb-21;-0.1;0.0;0.1;485.5;;30.6
16-Feb-21;-0.1;0.0;0.1;484.0;;29.9
17-Feb-21;-0.1;0.0;0.1;477.9;;29.8
18-Feb-21;-0.1;0.0;0.1;477.0;;30.6
19-Feb-21;-0.1;0.0;0.1;482.4;;31.7
20-Feb-21;-0.1;0.0;0.1;482.3;;31.7
21-Feb-21;-0.1;0.0;0.1;488.9;;28.6
22-Feb-21;-0.2;0.0;0.1;488.9;;27.5
23-Feb-21;-0.2;0.0;0.1;492.2;;27.6
24-Feb-21;-0.1;0.0;0.1;482.9;;28.2
25-Feb-21;-0.1;0.0;0.1;487.0;;31.3
26-Feb-21;-0.1;0.0;0.1;482.2;;30.5
27-Feb-21;-0.1;0.0;0.1;491.5;;34.0
28-Feb-21;-0.1;0.0;0.1;508.6;;26.9
01-Mar-21;-0.1;0.0;0.1;500.4;;26.6
02-Mar-21;0.0;0.0;0.1;492.6;;42.0
03-Mar-21;0.6;0.0;0.1;494.8;;30.6
04-Mar-21;-0.1;0.0;0.1;494.4;;28.7
05-Mar-21;-0.1;0.0;0.1;500.0;;28.4
06-Mar-21;-0.1;0.0;0.1;294.5;;30.5
07-Mar-21;-0.1;0.0;0.1;268.1;;30.6
08-Mar-21;-0.1;0.0;0.1;327.3;;31.5
09-Mar-21;-0.1;0.0;0.1;344.5;;30.1
10-Mar-21;-0.1;0.0;0.1;183.0;;35.5
11-Mar-21;0.0;0.0;0.1;439.5;;31.8
12-Mar-21;0.0;0.0;0.1;293.2;;31.1
13-Mar-21;0.0;0.0;0.1;541.6;;29.7
14-Mar-21;0.0;0.0;0.1;544.9;;30.2
15-Mar-21;0.0;0.0;0.1;398.1;;31.4
16-Mar-21;0.0;0.0;0.1;286.2;;29.1
17-Mar-21;0.0;0.0;0.1;569.6;;30.2
18-Mar-21;0.0;0.0;0.1;556.6;;28.3
19-Mar-21;0.0;0.0;0.1;43.0;;29.2
20-Mar-21;-0.1;0.0;0.1;21.4;;27.0
21-Mar-21;-0.1;0.0;0.1;21.5;;27.2
22-Mar-21;-0.1;0.0;0.1;21.9;;27.8
23-Mar-21;-0.1;0.0;0.1;55.3;;27.8
24-Mar-21;-0.1;0.0;0.1;103.0;;584.4
25-Mar-21;-0.1;23.6;0.1;59.5;;936.0
26-Mar-21;-0.1;23.6;0.2;53.1;;894.6
27-Mar-21;-0.1;18.4;0.2;103.7;;841.1
28-Mar-21;128.4;83.7;7.0;429.3;;851.6
29-Mar-21;225.8;193.4;8.2;838.6;3877.3;889.9
30-Mar-21;405.7;326.9;12.1;1453.4;3491.5;1338.4
31-Mar-21;450.0;345.5;13.4;1570.8;3573.0;1455.9
01-Apr-21;459.8;343.9;13.7;1619.1;3744.9;1456.6
02-Apr-21;539.7;371.4;15.7;1905.8;3762.7;1655.2
03-Apr-21;559.8;345.0;16.1;1990.0;4410.6;1726.6
04-Apr-21;579.8;380.6;16.1;1995.6;4328.0;1840.1
05-Apr-21;569.0;370.3;15.9;1908.5;3868.5;1660.8
06-Apr-21;576.0;374.5;15.8;1944.6;3824.7;1628.9
07-Apr-21;602.7;402.5;16.4;2023.2;3817.2;1706.1
08-Apr-21;566.8;370.1;15.7;1906.7;4017.0;1579.2
09-Apr-21;611.0;396.1;16.6;2057.0;4032.4;1675.8
10-Apr-21;505.2;342.4;14.7;1736.0;4034.7;1583.5
11-Apr-21;530.6;325.0;15.2;1801.5;4384.1;1519.1
12-Apr-21;573.0;374.2;16.0;1921.0;3897.3;1631.2
13-Apr-21;599.5;368.0;16.4;2008.6;4237.2;1693.6
